bucket,year,registrations,lag_y,yoy_pct,qoq_pct
2W,2022,15598510,,,
2W,2023,17097310,15598510.0,9.61,
2W,2024,18939999,17097310.0,10.78,
2W,2025,10955928,18939999.0,-42.15,
3W,2022,683990,,,
3W,2023,1105449,683990.0,61.62,
3W,2024,1221864,1105449.0,10.53,
3W,2025,744823,1221864.0,-39.04,
4W,2022,5245179,,,
4W,2023,5735468,5245179.0,9.35,
4W,2024,5966667,5735468.0,4.03,
4W,2025,3730313,5966667.0,-37.48,
OTHER,2022,50481,,,
OTHER,2023,70278,50481.0,39.22,
OTHER,2024,80834,70278.0,15.02,
OTHER,2025,54054,80834.0,-33.13,
